61.74	0.3	0.13	^
61.76	0.31	0.1	^
61.78	0.32	0.08	^
61.8	^	0.05	^
61.82	0.33	0.03	^
61.84	^	0.0	^
61.86	^	-0.01	^
61.88	^	-0.04	^
61.9	0.32	-0.06	^
61.92	0.31	-0.09	^
61.94	^	-0.11	^
61.96	0.3	-0.14	^
61.99	0.28	-0.16	^
62.01	0.27	-0.18	^
62.03	0.25	-0.2	^
62.05	0.24	-0.22	^
62.07	0.22	-0.24	^
62.09	0.2	-0.26	^
62.11	0.18	-0.27	^
62.13	0.15	-0.29	^
62.15	0.13	-0.3	^
62.17	0.11	-0.31	^
62.19	0.08	-0.32	^
62.21	0.06	^	^
62.23	0.03	-0.33	^
62.25	0.01	^	^
62.27	-0.01	^	^
62.29	-0.04	^	^
62.31	-0.06	-0.32	^
62.33	-0.09	^	^
62.35	-0.11	-0.31	^
62.37	-0.13	-0.3	^
62.39	-0.16	-0.29	^
62.41	-0.18	-0.27	^
62.43	-0.2	-0.26	^
62.45	-0.22	-0.24	^
62.47	-0.24	-0.22	^
62.49	-0.25	-0.2	^
62.51	-0.27	-0.18	^
62.53	-0.28	-0.16	^
62.55	-0.29	-0.14	^
62.57	-0.31	-0.12	^
62.59	^	-0.09	^
62.61	-0.32	-0.07	^
62.63	^	-0.05	^
62.65	-0.33	-0.02	^
62.67	^	0.0	^
62.69	^	0.02	^
62.71	-0.32	0.05	^
62.73	^	0.07	^
62.75	-0.31	0.1	^
62.77	-0.3	0.12	^
62.79	-0.29	0.14	^
62.81	-0.28	0.17	^
62.83	-0.27	0.19	^
62.85	-0.25	0.21	^
62.87	-0.23	0.23	^
62.89	-0.21	0.25	^
62.91	-0.19	0.26	^
62.93	-0.17	0.28	^
62.95	-0.15	0.29	^
62.97	-0.12	0.3	^
62.99	-0.1	0.31	^
63.01	-0.08	0.32	^
63.03	-0.05	^	^
63.05	-0.03	0.33	^
63.07	0.0	^	^
63.09	0.01	^	^
63.11	0.04	^	^
63.13	0.06	0.32	^
63.15	0.09	0.31	^
63.17	0.11	^	^
63.19	0.14	0.3	^
63.21	0.16	0.29	^
63.23	0.18	0.27	^
63.25	0.2	0.26	^
63.27	0.22	0.24	^
63.29	0.24	0.22	^
63.31	0.25	0.2	^
63.33	0.27	0.18	^
63.35	0.28	0.16	^
63.37	0.3	0.14	^
63.39	0.31	0.11	^
63.41	^	0.09	^
63.43	0.32	0.07	^
63.45	0.33	0.04	^
63.47	^	0.01	^
63.49	^	0.0	^
63.51	^	-0.03	^
63.53	0.32	-0.05	^
63.55	^	-0.08	^
63.57	0.31	-0.1	^
63.59	0.3	-0.12	^
63.61	0.29	-0.15	^
63.63	0.28	-0.17	^
63.65	0.26	-0.19	^
63.67	0.25	-0.21	^
63.69	0.23	-0.23	^
63.71	0.21	-0.25	^
63.73	0.19	-0.27	^
63.75	0.17	-0.28	^
63.77	0.14	-0.29	^
63.79	0.12	-0.31	^
63.81	0.09	^	^
63.84	0.06	-0.32	^
63.86	0.04	-0.33	^
63.88	0.01	^	^
63.9	-0.01	^	^
63.92	-0.03	^	^
63.94	-0.06	-0.32	^
63.96	-0.08	^	^
63.98	-0.11	-0.31	^
64.0	-0.13	-0.3	^
64.02	-0.16	-0.29	^
64.05	-0.18	-0.27	^
64.07	-0.2	-0.25	^
64.09	-0.23	-0.23	^
64.11	-0.25	-0.21	^
64.13	-0.26	-0.19	^
64.16	-0.28	-0.17	^
64.18	-0.29	-0.14	^
64.2	-0.3	-0.12	^
64.22	-0.31	-0.09	^
64.24	-0.32	-0.07	^
64.26	-0.33	-0.04	^
64.28	^	-0.01	^
64.3	^	0.0	^
64.33	^	0.03	^
64.35	-0.32	0.05	^
64.37	^	0.08	^
64.39	-0.31	0.11	^
64.41	-0.3	0.13	^
64.43	-0.29	0.16	^
64.45	-0.27	0.18	^
64.47	-0.26	0.2	^
64.49	-0.24	0.22	^
64.51	-0.22	0.24	^
64.53	-0.2	0.26	^
64.55	-0.18	0.27	^
64.57	-0.16	0.29	^
64.59	-0.14	0.3	^
64.61	-0.11	0.31	^
64.63	-0.09	0.32	^
64.65	-0.06	^	^
64.67	-0.04	0.33	^
64.69	-0.01	^	^
64.71	0.0	^	^
64.73	0.03	^	^
64.75	0.05	0.32	^
64.77	0.08	^	^
64.79	0.1	0.31	^
64.81	0.13	0.3	^
64.83	0.15	0.29	^
64.85	0.17	0.28	^
